Signal1,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-32,0,0,0,0,0,0,0,0,1.0888e+06,5.37905e-08,0,0,0,0,0,0,
-32,0,0,0,0,0,0,0,0,1.0888e+06,5.37905e-08,0,0,0,0,0,0,
-32,0,0,0,0,0,0,0,0,1.0888e+06,5.37905e-08,0,0,0,0,0,0,
-32,0,0,0,0,0,0,0,0,1.0888e+06,5.37905e-08,0,0,0,0,0,0,
-32,0,0,0,0,0,0,0,0,1.0888e+06,5.37905e-08,0,0,0,0,0,0,
-32,0,0,0,0,0,0,0,0,1.0888e+06,5.37905e-08,0,0,0,0,0,0,
-32,0,0,0,0,0,0,0,0,1.0888e+06,5.37905e-08,0,0,0,0,0,0,
